image_1,worker_id,part,category,time,folder,text_1,tokenized_1,lower_1,no_punc_1,no_punc_str_1,split,ID,part_name
129,A14GKRTUEHBLBZ,1,face,133.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,perky vertical,"['perky', 'vertical']","['perky', 'vertical']","['perky', 'vertical']",perky vertical,train,424aafe8-afcd-49e3-afa6-3baa25de39a4,nose
345,A14GKRTUEHBLBZ,2,face,133.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,large closed,"['large', 'closed']","['large', 'closed']","['large', 'closed']",large closed,train,1b9db3c1-a686-403f-85bc-414abb12a873,mouth
343,A14GKRTUEHBLBZ,2,face,133.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,small closed,"['small', 'closed']","['small', 'closed']","['small', 'closed']",small closed,dev,f7350285-bc09-48e9-bc3d-040ee1ceae25,mouth
609,A14GKRTUEHBLBZ,4,face,133.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,short pointy,"['short', 'pointy']","['short', 'pointy']","['short', 'pointy']",short pointy,train,5c787b48-6a3a-4201-a8da-a8b6423ca238,hair
350,A14GKRTUEHBLBZ,4,face,133.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,short curly,"['short', 'curly']","['short', 'curly']","['short', 'curly']",short curly,train,856ace4d-f55d-4a2c-84b4-b48aa9471cea,hair
92,A14GKRTUEHBLBZ,6,face,133.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,circular slanted,"['circular', 'slanted']","['circular', 'slanted']","['circular', 'slanted']",circular slanted,train,2e1fa972-553d-42f3-bda0-7e2e7a4b75e3,face
27,A14GKRTUEHBLBZ,6,face,133.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,rounded square,"['round', 'square']","['round', 'square']","['round', 'square']",round square,train,ad0bc8e5-851e-4233-a458-ff874a952598,face
275,A1F6MWP9A0XLJQ,0,face,153.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,closed,['close'],['close'],['close'],close,train,e7b9afc9-c4e1-4726-82ac-a2d9e719df53,eyes
706,A1F6MWP9A0XLJQ,0,face,153.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,open,['open'],['open'],['open'],open,train,2a6bb06b-a248-4ad7-b7fd-ca79cef6832e,eyes
776,A1F6MWP9A0XLJQ,1,face,153.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,point-shaped,"['point', '-']","['point', '-']",['point'],point,dev,f5e8233e-069c-4f72-afb3-1ebda6e058ca,nose
112,A1F6MWP9A0XLJQ,1,face,153.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,moustache-shaped,"['moustache', '-']","['moustache', '-']",['moustache'],moustache,train,ecc7f24a-e4d4-4504-974e-6c61875b21b9,nose
698,A1F6MWP9A0XLJQ,2,face,153.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,smirky,['smirky'],['smirky'],['smirky'],smirky,train,b662d695-2e37-4f2a-b12b-abae17b4c1ff,mouth
448,A1F6MWP9A0XLJQ,2,face,153.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,wide smile,"['wide', 'smile']","['wide', 'smile']","['wide', 'smile']",wide smile,train,60c4edd7-d703-46ee-9f4e-a2790adbf3c1,mouth
221,A1F6MWP9A0XLJQ,4,face,153.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,long stringy,"['long', 'stringy']","['long', 'stringy']","['long', 'stringy']",long stringy,dev,bfe833a8-346e-498b-8e20-c6f3c37a0aba,hair
335,A1F6MWP9A0XLJQ,4,face,153.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,spiky,['spiky'],['spiky'],['spiky'],spiky,train,a67ab346-f549-4212-9041-d38a55405fd5,hair
216,A1F6MWP9A0XLJQ,6,face,153.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,circular,['circular'],['circular'],['circular'],circular,train,1cbe218b-98b6-4d39-a1a3-76c36a353624,face
767,A1F6MWP9A0XLJQ,6,face,153.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,arrowhead shaped,['arrowhead'],['arrowhead'],['arrowhead'],arrowhead,test,8c135899-d89b-4916-82ed-58646a04f908,face
64,A2JDYN6QM8M5UN,0,face,117.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,swirly,['swirly'],['swirly'],['swirly'],swirly,train,8ace4a9c-079f-47d3-b5fa-410c6560a422,eyes
0,A2JDYN6QM8M5UN,0,face,117.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,circular,['circular'],['circular'],['circular'],circular,train,03781cc3-6424-4f0b-a3f3-1c893bb6c123,eyes
737,A2JDYN6QM8M5UN,1,face,117.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,triangular,['triangular'],['triangular'],['triangular'],triangular,test,13ed3625-4db2-463c-bf06-b80919538254,nose
542,A2JDYN6QM8M5UN,1,face,117.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,thin,['thin'],['thin'],['thin'],thin,train,922aa13b-d1d7-467a-a6e1-e488e8872ffa,nose
377,A2JDYN6QM8M5UN,2,face,117.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,semi-circular,"['semi', '-', 'circular']","['semi', '-', 'circular']","['semi', 'circular']",semi circular,dev,875b9507-d73a-4607-a163-5df4f2106cf4,mouth
561,A2JDYN6QM8M5UN,2,face,117.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,crescent,['crescent'],['crescent'],['crescent'],crescent,train,8c55c021-bf57-4d27-896e-f740910fbf86,mouth
592,A2JDYN6QM8M5UN,4,face,117.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,spiky,['spiky'],['spiky'],['spiky'],spiky,train,540efb05-f5cd-4be8-8a48-e0140080a02d,hair
453,A2JDYN6QM8M5UN,4,face,117.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,long,['long'],['long'],['long'],long,train,ae9b17ef-9eaa-47bf-95a2-8309a1fb5e70,hair
66,A2JDYN6QM8M5UN,6,face,117.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,ovular,['ovular'],['ovular'],['ovular'],ovular,train,a36b6dc1-b91a-405d-b276-5f0b9baa2b97,face
274,A2JDYN6QM8M5UN,6,face,117.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,circular,['circular'],['circular'],['circular'],circular,train,35426206-3138-45ba-9001-a5cc41ad5bb5,face
175,A272X64FOZFYLB,0,face,125.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,circular,['circular'],['circular'],['circular'],circular,train,7594e086-083e-48aa-b6a3-aa3420c35946,eyes
779,A272X64FOZFYLB,0,face,125.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,semi-circular,"['semi', '-', 'circular']","['semi', '-', 'circular']","['semi', 'circular']",semi circular,train,61553bfe-2ae6-4962-93e5-b0488d4662da,eyes
259,A272X64FOZFYLB,1,face,125.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,U-shaped,"['u', '-']","['u', '-']",['u'],u,train,a31c06bd-463e-4923-bc1a-adbde48b1697,nose
502,A272X64FOZFYLB,1,face,125.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,L-shaped,"['l', '-']","['l', '-']",['l'],l,train,0949b2c3-24f5-465e-abb2-ca1874997f9b,nose
298,A272X64FOZFYLB,2,face,125.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,wide unsymmetrical,"['wide', 'unsymmetrical']","['wide', 'unsymmetrical']","['wide', 'unsymmetrical']",wide unsymmetrical,train,68858ab3-dc1d-4d61-b94a-07391d910219,mouth
496,A272X64FOZFYLB,2,face,125.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,narrow symmetrical,"['narrow', 'symmetrical']","['narrow', 'symmetrical']","['narrow', 'symmetrical']",narrow symmetrical,train,456a7c41-144d-4605-927b-021d48ce1ef4,mouth
573,A272X64FOZFYLB,4,face,125.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,circular,['circular'],['circular'],['circular'],circular,train,e313660a-9696-4ce3-baa2-84269589f2cd,hair
486,A272X64FOZFYLB,4,face,125.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,curved,['curve'],['curve'],['curve'],curve,train,5a106e8d-7492-4741-8362-649d0acb6ba8,hair
44,A272X64FOZFYLB,6,face,125.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,bumpy circular,"['bumpy', 'circular']","['bumpy', 'circular']","['bumpy', 'circular']",bumpy circular,test,8c50218e-b688-4dcb-b081-31b6c36f2a27,face
251,A272X64FOZFYLB,6,face,125.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,smooth oval,"['smooth', 'oval']","['smooth', 'oval']","['smooth', 'oval']",smooth oval,test,115869ee-1c52-408d-82ce-0cae0bc2bc46,face
557,A4D99Y82KOLC8,0,face,25.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,round,['round'],['round'],['round'],round,train,7fdb445d-a3e4-4eb1-b9c4-f85415895139,eyes
451,A4D99Y82KOLC8,0,face,25.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,uneven round,"['uneven', 'round']","['uneven', 'round']","['uneven', 'round']",uneven round,train,3ed6808d-293e-42fe-bbd5-8d41edde658c,eyes
283,A4D99Y82KOLC8,1,face,25.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,small dot,"['small', 'dot']","['small', 'dot']","['small', 'dot']",small dot,train,fa440de1-b983-4bda-b15e-6808eb2328fb,nose
100,A4D99Y82KOLC8,1,face,25.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,vertical line,"['vertical', 'line']","['vertical', 'line']","['vertical', 'line']",vertical line,train,9ddae337-7480-467b-afb7-855cbb74ba07,nose
709,A4D99Y82KOLC8,2,face,25.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,right angle,"['right', 'angle']","['right', 'angle']","['right', 'angle']",right angle,train,e9fa2370-8e4c-4be3-b57c-6138725493bb,mouth
790,A4D99Y82KOLC8,2,face,25.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,U shape,['u'],['u'],['u'],u,train,17fcf332-26ff-4d4d-9714-bf2f4d165aea,mouth
282,A4D99Y82KOLC8,4,face,25.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,squiggly,['squiggly'],['squiggly'],['squiggly'],squiggly,train,f7d98f02-79a7-454d-848a-fdee6bb53b18,hair
545,A4D99Y82KOLC8,4,face,25.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,curve,['curve'],['curve'],['curve'],curve,train,0a5e969a-0439-4352-ba7a-4afbf96fa2d5,hair
342,A4D99Y82KOLC8,6,face,25.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,oval,['oval'],['oval'],['oval'],oval,dev,943234bd-a4fb-4233-8a31-73675af149ce,face
681,A4D99Y82KOLC8,6,face,25.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,round,['round'],['round'],['round'],round,dev,3915eea6-f275-4522-984c-b605ae9f02ed,face
737,A3AJJHOAV7WIUQ,0,face,97.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,oval within an oval,"['oval', 'within', 'an', 'oval']","['oval', 'within', 'an', 'oval']","['oval', 'within', 'an', 'oval']",oval within an oval,test,4e489327-433a-4e7b-b7e2-55f9e50acaeb,eyes
703,A3AJJHOAV7WIUQ,0,face,97.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,triangular,['triangular'],['triangular'],['triangular'],triangular,train,7e2e8e37-cfe8-424b-92cd-b1077c5b5b10,eyes
393,A3AJJHOAV7WIUQ,1,face,97.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,dot,['dot'],['dot'],['dot'],dot,train,ed932c10-f8d0-4ce4-b64f-e5ab5b2b822f,nose
592,A3AJJHOAV7WIUQ,1,face,97.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,horizontal straight line,"['horizontal', 'straight', 'line']","['horizontal', 'straight', 'line']","['horizontal', 'straight', 'line']",horizontal straight line,train,71714bee-e840-4ba8-9662-bf1413a8334a,nose
663,A3AJJHOAV7WIUQ,2,face,97.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,crooked curve,"['crooked', 'curve']","['crooked', 'curve']","['crooked', 'curve']",crooked curve,train,791fa19c-6789-4baf-8434-fc44b4e9cda1,mouth
521,A3AJJHOAV7WIUQ,2,face,97.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,open sideways rectangle,"['open', 'sideways', 'rectangle']","['open', 'sideways', 'rectangle']","['open', 'sideways', 'rectangle']",open sideways rectangle,train,6a494983-d838-4175-8771-8ded56d3a36f,mouth
614,A3AJJHOAV7WIUQ,4,face,97.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,shaded in,"['shade', 'in']","['shade', 'in']","['shade', 'in']",shade in,train,124f6fec-3fc9-424b-81fa-dcc88f18bedd,hair
405,A3AJJHOAV7WIUQ,4,face,97.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,two loose waves,"['two', 'loose', 'wave']","['two', 'loose', 'wave']","['two', 'loose', 'wave']",two loose wave,train,131dc468-f877-4a44-b198-6d7c9f47ebe3,hair
677,A3AJJHOAV7WIUQ,6,face,97.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,tilted oval,"['tilt', 'oval']","['tilt', 'oval']","['tilt', 'oval']",tilt oval,train,bd77f0b0-bfd3-4880-9c9b-943e6e7843b8,face
399,A3AJJHOAV7WIUQ,6,face,97.8,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,straight oval,"['straight', 'oval']","['straight', 'oval']","['straight', 'oval']",straight oval,dev,af0918cd-2a11-4a58-93eb-eadfc9cbdd8c,face
767,AM65LGXJBTJ0I,0,face,121.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,elliptical,['elliptical'],['elliptical'],['elliptical'],elliptical,test,e81e4bb3-7573-4252-be1b-27d1acac9937,eyes
419,AM65LGXJBTJ0I,0,face,121.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,circulur,['circulur'],['circulur'],['circulur'],circulur,train,52829ecc-0243-4b27-92c1-ff3343163383,eyes
672,AM65LGXJBTJ0I,1,face,121.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,L shaped,['l'],['l'],['l'],l,dev,12c898bd-fd2f-48b2-8b9e-5f4ebdb7affc,nose
84,AM65LGXJBTJ0I,1,face,121.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,thermometer shaped,['thermometer'],['thermometer'],['thermometer'],thermometer,train,471f807a-902e-464c-9612-7c6784803373,nose
453,AM65LGXJBTJ0I,2,face,121.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,"large, happy","['large', ',', 'happy']","['large', ',', 'happy']","['large', 'happy']",large happy,train,dc9c83de-1d51-4ecc-8f2e-e0dbef37591e,mouth
569,AM65LGXJBTJ0I,2,face,121.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,content,['content'],['content'],['content'],content,train,73956f74-0aba-4483-acda-abed79e8acad,mouth
327,AM65LGXJBTJ0I,4,face,121.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,"long, thin, singular","['long', ',', 'thin', ',', 'singular']","['long', ',', 'thin', ',', 'singular']","['long', 'thin', 'singular']",long thin singular,test,5e76f363-33e8-4c0d-abd7-3c484dc0d770,hair
3,AM65LGXJBTJ0I,4,face,121.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,wavy,['wavy'],['wavy'],['wavy'],wavy,test,cc405332-3d31-42f0-9d4a-79f38eff9c3c,hair
521,AM65LGXJBTJ0I,6,face,121.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,"rigid, square, strong","['rigid', ',', 'square', ',', 'strong']","['rigid', ',', 'square', ',', 'strong']","['rigid', 'square', 'strong']",rigid square strong,train,d030184c-ecaa-4adf-81be-6de608a725e2,face
636,AM65LGXJBTJ0I,6,face,121.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,lopsided,['lopsided'],['lopsided'],['lopsided'],lopsided,train,25705998-293d-4eb9-b17e-27105907331c,face
413,APRZ7BR8C0ZMQ,0,face,174.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,opened,['open'],['open'],['open'],open,test,45648ae6-b5dc-456b-9e5d-88665f068cc2,eyes
296,APRZ7BR8C0ZMQ,0,face,174.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,pinpoint,['pinpoint'],['pinpoint'],['pinpoint'],pinpoint,train,81d67456-8e88-427a-9504-282673acc3d7,eyes
315,APRZ7BR8C0ZMQ,1,face,174.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,button,['button'],['button'],['button'],button,train,25c47dfb-814a-48d3-8f2d-ca2aae4228c3,nose
634,APRZ7BR8C0ZMQ,1,face,174.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,pendulous,['pendulous'],['pendulous'],['pendulous'],pendulous,train,7fd8db75-1620-4008-8cf3-a636302c4f15,nose
436,APRZ7BR8C0ZMQ,2,face,174.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,grinning,['grin'],['grin'],['grin'],grin,dev,bb48e9c6-097d-4185-bea9-51d532757fda,mouth
203,APRZ7BR8C0ZMQ,2,face,174.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,open,['open'],['open'],['open'],open,train,33b39dd1-1b52-47f2-b138-76c7c5d8e858,mouth
278,APRZ7BR8C0ZMQ,4,face,174.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,unkempt,['unkempt'],['unkempt'],['unkempt'],unkempt,train,cac7078e-d6fd-41be-83c4-11b580bda14d,hair
505,APRZ7BR8C0ZMQ,4,face,174.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,zigzag,['zigzag'],['zigzag'],['zigzag'],zigzag,train,25bc30e0-d6d0-4a1a-87c1-55a58bb453e1,hair
141,APRZ7BR8C0ZMQ,6,face,174.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,disk-shaped,"['disk', '-']","['disk', '-']",['disk'],disk,train,65f93055-e72f-4003-86c4-b202da57af76,face
593,APRZ7BR8C0ZMQ,6,face,174.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,inverted arch,"['inverted', 'arch']","['inverted', 'arch']","['inverted', 'arch']",inverted arch,train,14c49bb4-ff42-4358-9a10-26d86a55e535,face
376,A320QA9HJFUOZO,0,face,86.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,smooth round,"['smooth', 'round']","['smooth', 'round']","['smooth', 'round']",smooth round,train,34b6177b-a893-464f-a2e2-5ace7393e3f8,eyes
378,A320QA9HJFUOZO,0,face,86.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,uneven jagged,"['uneven', 'jagged']","['uneven', 'jagged']","['uneven', 'jagged']",uneven jagged,train,15972cf7-afad-4966-b275-d8c8be707775,eyes
238,A320QA9HJFUOZO,1,face,86.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,small button,"['small', 'button']","['small', 'button']","['small', 'button']",small button,dev,6b84908c-8eca-4644-8dcd-f7e0acc3cf18,nose
746,A320QA9HJFUOZO,1,face,86.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,round curved,"['round', 'curved']","['round', 'curved']","['round', 'curved']",round curved,train,e9d97eeb-90b9-4ae2-9d17-5a252c641fc9,nose
219,A320QA9HJFUOZO,2,face,86.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,perfect curved,"['perfect', 'curved']","['perfect', 'curved']","['perfect', 'curved']",perfect curved,train,8b2e1fd2-474d-4ed9-84af-7f5ef34e6d98,mouth
329,A320QA9HJFUOZO,2,face,86.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,upturned,['upturned'],['upturned'],['upturned'],upturned,test,c28883f8-ffbc-4ac8-afdd-20f27e0723ce,mouth
238,A320QA9HJFUOZO,4,face,86.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,flat wavy,"['flat', 'wavy']","['flat', 'wavy']","['flat', 'wavy']",flat wavy,dev,5e50e8ac-65ec-4418-9157-c20bb2e2052a,hair
3,A320QA9HJFUOZO,4,face,86.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,spiky tall,"['spiky', 'tall']","['spiky', 'tall']","['spiky', 'tall']",spiky tall,test,316dcefe-5fea-47d1-8b0d-93058ec60a04,hair
223,A320QA9HJFUOZO,6,face,86.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,boxy square,"['boxy', 'square']","['boxy', 'square']","['boxy', 'square']",boxy square,train,5b93d40b-5a6b-4ff8-b948-bad1ad8e10c9,face
649,A320QA9HJFUOZO,6,face,86.6,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,round circle,"['round', 'circle']","['round', 'circle']","['round', 'circle']",round circle,test,67613399-2d3a-4f22-8216-40ba6287afb3,face
631,AAQREZOK13OV7,0,face,91.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,"small, solid","['small', ',', 'solid']","['small', ',', 'solid']","['small', 'solid']",small solid,train,257574f3-c52c-4464-bb59-6e81cc1c881f,eyes
721,AAQREZOK13OV7,0,face,91.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,"flat, straight","['flat', ',', 'straight']","['flat', ',', 'straight']","['flat', 'straight']",flat straight,train,94d831e8-f78a-4c5b-b70c-a980369a38ea,eyes
205,AAQREZOK13OV7,1,face,91.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,hooked,['hook'],['hook'],['hook'],hook,dev,25ad9d5b-2b8d-46a9-9b2e-624a9e6d9094,nose
312,AAQREZOK13OV7,1,face,91.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,"long, slender","['long', ',', 'slender']","['long', ',', 'slender']","['long', 'slender']",long slender,test,fab674ef-b8b2-4cd1-b7b0-13e99abd1fa7,nose
240,AAQREZOK13OV7,2,face,91.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,parabolic,['parabolic'],['parabolic'],['parabolic'],parabolic,test,f505df32-bbc5-4a64-9401-b620ced104e9,mouth
277,AAQREZOK13OV7,2,face,91.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,unevenly curved,"['unevenly', 'curve']","['unevenly', 'curve']","['unevenly', 'curve']",unevenly curve,train,e0975994-ca1b-4300-8f86-c492554a29d9,mouth
3,AAQREZOK13OV7,4,face,91.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,spiked,['spiked'],['spiked'],['spiked'],spiked,test,b5fae67a-048e-4186-9279-0ef4ce42cd10,hair
221,AAQREZOK13OV7,4,face,91.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,"long, drooping","['long', ',', 'droop']","['long', ',', 'droop']","['long', 'droop']",long droop,dev,3f9e94c4-f8ba-486c-bbc3-4ff4236cff8b,hair
774,AAQREZOK13OV7,6,face,91.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,"round, uneven","['round', ',', 'uneven']","['round', ',', 'uneven']","['round', 'uneven']",round uneven,train,21b7d015-e1a9-42ba-8660-32f8144c362e,face
531,AAQREZOK13OV7,6,face,91.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,oval shaped,['oval'],['oval'],['oval'],oval,train,473a7573-8c0e-493a-807f-f44c90ea8414,face
329,A1VMPZVVVZUCS4,0,face,213.2,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,"big, round","['big', ',', 'round']","['big', ',', 'round']","['big', 'round']",big round,test,effd63cb-d299-4f69-bbb6-46a38ab0138b,eyes
96,A1VMPZVVVZUCS4,0,face,213.2,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,vertically-slitted,"['vertically', '-', 'slitte']","['vertically', '-', 'slitte']","['vertically', 'slitte']",vertically slitte,train,d3f236eb-f150-4e31-a56a-9dcf2ba131b2,eyes
600,A1VMPZVVVZUCS4,1,face,213.2,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,"pointed, C-shaped","['point', ',', 'c', '-']","['point', ',', 'c', '-']","['point', 'c']",point c,train,7bd5aa94-9e4c-4377-a66b-c0a9295c3886,nose
697,A1VMPZVVVZUCS4,1,face,213.2,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,"tiny, curved, U-shaped","['tiny', ',', 'curve', ',', 'u', '-']","['tiny', ',', 'curve', ',', 'u', '-']","['tiny', 'curve', 'u']",tiny curve u,train,07a7decf-b846-447a-8c59-3d6fe107da11,nose
